19 e4 | 00011001 11100100 | sbb sp, sp
1b e4 | 00011011 11100100 | sbb sp, sp
18 e4 | 00011000 11100100 | sbb ah, ah
1a e4 | 00011010 11100100 | sbb ah, ah
18 c0 | 00011000 11000000 | sbb al, al
1a c0 | 00011010 11000000 | sbb al, al
19 c0 | 00011001 11000000 | sbb ax, ax
1b c0 | 00011011 11000000 | sbb ax, ax
18 ff | 00011000 11111111 | sbb bh, bh
1a ff | 00011010 11111111 | sbb bh, bh
18 db | 00011000 11011011 | sbb bl, bl
1a db | 00011010 11011011 | sbb bl, bl
19 ed | 00011001 11101101 | sbb bp, bp
1b ed | 00011011 11101101 | sbb bp, bp
19 db | 00011001 11011011 | sbb bx, bx
1b db | 00011011 11011011 | sbb bx, bx
18 ed | 00011000 11101101 | sbb ch, ch
1a ed | 00011010 11101101 | sbb ch, ch
18 c9 | 00011000 11001001 | sbb cl, cl
1a c9 | 00011010 11001001 | sbb cl, cl
19 c9 | 00011001 11001001 | sbb cx, cx
1b c9 | 00011011 11001001 | sbb cx, cx
18 f6 | 00011000 11110110 | sbb dh, dh
1a f6 | 00011010 11110110 | sbb dh, dh
19 ff | 00011001 11111111 | sbb di, di
1b ff | 00011011 11111111 | sbb di, di
18 d2 | 00011000 11010010 | sbb dl, dl
1a d2 | 00011010 11010010 | sbb dl, dl
19 d2 | 00011001 11010010 | sbb dx, dx
1b d2 | 00011011 11010010 | sbb dx, dx
19 f6 | 00011001 11110110 | sbb si, si
1b f6 | 00011011 11110110 | sbb si, si
66 0f 51 c0 | 01100110 00001111 01010001 11000000 | sqrtps xmm0, xmm0
64 0f 51 c0 | 01100100 00001111 01010001 11000000 | sqrtps xmm0, xmm0
66 0f 51 c9 | 01100110 00001111 01010001 11001001 | sqrtps xmm1, xmm1
64 0f 51 c9 | 01100100 00001111 01010001 11001001 | sqrtps xmm1, xmm1
66 0f 51 d2 | 01100110 00001111 01010001 11010010 | sqrtps xmm2, xmm2
64 0f 51 d2 | 01100100 00001111 01010001 11010010 | sqrtps xmm2, xmm2
66 0f 51 db | 01100110 00001111 01010001 11011011 | sqrtps xmm3, xmm3
64 0f 51 db | 01100100 00001111 01010001 11011011 | sqrtps xmm3, xmm3
66 0f 51 e4 | 01100110 00001111 01010001 11100100 | sqrtps xmm4, xmm4
64 0f 51 e4 | 01100100 00001111 01010001 11100100 | sqrtps xmm4, xmm4
66 0f 51 ed | 01100110 00001111 01010001 11101101 | sqrtps xmm5, xmm5
64 0f 51 ed | 01100100 00001111 01010001 11101101 | sqrtps xmm5, xmm5
66 0f 51 f6 | 01100110 00001111 01010001 11110110 | sqrtps xmm6, xmm6
64 0f 51 f6 | 01100100 00001111 01010001 11110110 | sqrtps xmm6, xmm6
66 0f 51 ff | 01100110 00001111 01010001 11111111 | sqrtps xmm7, xmm7
64 0f 51 ff | 01100100 00001111 01010001 11111111 | sqrtps xmm7, xmm7
66 0f 5c c0 | 01100110 00001111 01011100 11000000 | subps xmm0, xmm0
64 0f 5c c0 | 01100100 00001111 01011100 11000000 | subps xmm0, xmm0
66 0f 5c c9 | 01100110 00001111 01011100 11001001 | subps xmm1, xmm1
64 0f 5c c9 | 01100100 00001111 01011100 11001001 | subps xmm1, xmm1
66 0f 5c d2 | 01100110 00001111 01011100 11010010 | subps xmm2, xmm2
64 0f 5c d2 | 01100100 00001111 01011100 11010010 | subps xmm2, xmm2
66 0f 5c db | 01100110 00001111 01011100 11011011 | subps xmm3, xmm3
64 0f 5c db | 01100100 00001111 01011100 11011011 | subps xmm3, xmm3
66 0f 5c e4 | 01100110 00001111 01011100 11100100 | subps xmm4, xmm4
64 0f 5c e4 | 01100100 00001111 01011100 11100100 | subps xmm4, xmm4
66 0f 5c ed | 01100110 00001111 01011100 11101101 | subps xmm5, xmm5
64 0f 5c ed | 01100100 00001111 01011100 11101101 | subps xmm5, xmm5
66 0f 5c f6 | 01100110 00001111 01011100 11110110 | subps xmm6, xmm6
64 0f 5c f6 | 01100100 00001111 01011100 11110110 | subps xmm6, xmm6
66 0f 5c ff | 01100110 00001111 01011100 11111111 | subps xmm7, xmm7
64 0f 5c ff | 01100100 00001111 01011100 11111111 | subps xmm7, xmm7
66 0f 15 c0 | 01100110 00001111 00010101 11000000 | unpckhps xmm0, xmm0
64 0f 15 c0 | 01100100 00001111 00010101 11000000 | unpckhps xmm0, xmm0
66 0f 15 c9 | 01100110 00001111 00010101 11001001 | unpckhps xmm1, xmm1
64 0f 15 c9 | 01100100 00001111 00010101 11001001 | unpckhps xmm1, xmm1
66 0f 15 d2 | 01100110 00001111 00010101 11010010 | unpckhps xmm2, xmm2
64 0f 15 d2 | 01100100 00001111 00010101 11010010 | unpckhps xmm2, xmm2
66 0f 15 db | 01100110 00001111 00010101 11011011 | unpckhps xmm3, xmm3
64 0f 15 db | 01100100 00001111 00010101 11011011 | unpckhps xmm3, xmm3
66 0f 15 e4 | 01100110 00001111 00010101 11100100 | unpckhps xmm4, xmm4
64 0f 15 e4 | 01100100 00001111 00010101 11100100 | unpckhps xmm4, xmm4
66 0f 15 ed | 01100110 00001111 00010101 11101101 | unpckhps xmm5, xmm5
64 0f 15 ed | 01100100 00001111 00010101 11101101 | unpckhps xmm5, xmm5
66 0f 15 f6 | 01100110 00001111 00010101 11110110 | unpckhps xmm6, xmm6
64 0f 15 f6 | 01100100 00001111 00010101 11110110 | unpckhps xmm6, xmm6
66 0f 15 ff | 01100110 00001111 00010101 11111111 | unpckhps xmm7, xmm7
64 0f 15 ff | 01100100 00001111 00010101 11111111 | unpckhps xmm7, xmm7
66 0f 14 c0 | 01100110 00001111 00010100 11000000 | unpcklps xmm0, xmm0
64 0f 14 c0 | 01100100 00001111 00010100 11000000 | unpcklps xmm0, xmm0
66 0f 14 c9 | 01100110 00001111 00010100 11001001 | unpcklps xmm1, xmm1
